location,vegetation_ground_cover_off_site,vegetation_ground_cover_on_site,rock_substrate,grassedge_cover_on_site,grassedge_cover_off_site,use_level,sum_area_feet_squared,condition_class,access_trails,exposed_soil,distance_to_water,Composite Score,site_issue
Garnet Lake ,26-50%,6-25%,6-25%,6-25%,26-50%,Medium,100,Class 3,0,65,2,,Less than 100 feet from water
Garnet Lake ,51-75%,6-25%,6-25%,6-25%,51-75%,Low,60,Class 2,1,50,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,26-50%,0-5%,26-50%,76-95%,Medium,60,Class 3,0,45,2,,Less than 100 feet from water
Thousand Island Lake,51-75%,26-50%,6-25%,26-50%,76-95%,Medium,400,Class 2,1,60,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,51-75%,0-5%,0-5%,0-5%,26-50%,High,60,Class 5,1,100,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,30,Class 3,1,95,2,,Less than 100 feet from water
Thousand Island Lake,76-95%,0-5%,26-50%,0-5%,76-95%,Low,60,Class 3,0,15,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,6-25%,0-5%,76-95%,0-5%,6-25%,Medium,75,Class 2,1,20,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,6-25%,6-25%,51-75%,,300,Class 4,1,90,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,6-25%,6-25%,6-25%,76-95%,Low,240,Class 3,0,50,1,,"In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Thousand Island Lake,51-75%,0-5%,51-75%,0-5%,51-75%,Medium,45,Class 3,0,50,1,,Less than 100 feet from water
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,51-75%,Medium,80,Class 3,0,90,2,,Less than 100 feet from water
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,76-95%,High,25,Class 3,0,85,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Medium,132,Class 3,1,70,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Low,50,Class 2,0,65,1,,"In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Thousand Island Lake,26-50%,6-25%,0-5%,26-50%,76-95%,Medium,400,Class 3,0,65,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,High,112,Class 3,0,80,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,51-75%,High,172,Class 5,0,90,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,26-50%,0-5%,26-50%,0-5%,26-50%,Medium,105,Class 4,0,95,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,0-5%,76-95%,0-5%,76-95%,Medium,110,Class 2,1,10,3,,Less than 100 feet from water
Thousand Island Lake,6-25%,0-5%,76-95%,0-5%,6-25%,Low,20,Class 2,0,20,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,76-95%,High,30,Class 4,0,100,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,130,Class 3,0,70,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,High,50,Class 3,3,90,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,6-25%,0-5%,0-5%,0-5%,6-25%,Low,30,Class 3,0,100,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,51-75%,0-5%,51-75%,76-95%,Low,64,Class 1,1,5,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,76-95%,Medium,128,Class 3,0,40,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,76-95%,Medium,128,Class 3,0,40,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,6-25%,6-25%,6-25%,6-25%,6-25%,Low,25,Class 3,0,90,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,96-100%,6-25%,0-5%,6-25%,96-100%,Medium,80,Class 3,2,65,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,96-100%,26-50%,0-5%,26-50%,96-100%,Low,100,Class 3,1,50,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,96-100%,26-50%,6-25%,26-50%,96-100%,Low,320,Class 2,0,40,1,,"In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,6-25%,6-25%,51-75%,Low,320,Class 2,0,10,2,,Less than 100 feet from water
Thousand Island Lake,26-50%,0-5%,6-25%,0-5%,26-50%,Medium,30,Class 3,0,85,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,0-5%,26-50%,0-5%,51-75%,High,144,Class 4,2,90,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,76-95%,High,25,Class 4,1,100,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,26-50%,26-50%,26-50%,51-75%,Medium,358,Class 3,2,30,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,51-75%,26-50%,51-75%,76-95%,Low,800,Class 2,0,50,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,26-50%,0-5%,0-5%,0-5%,26-50%,High,35,Class 3,1,95,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,76-95%,26-50%,0-5%,26-50%,51-75%,Medium,320,Class 3,1,45,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,76-95%,Low,60,Class 3,0,80,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,51-75%,0-5%,26-50%,76-95%,Medium,140,Class 3,1,30,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,76-95%,6-25%,6-25%,6-25%,76-95%,Low,180,Class 3,0,60,3,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,51-75%,6-25%,51-75%,Medium,1000,Class 3,0,40,4,,Less than 100 feet from water
Thousand Island Lake,51-75%,51-75%,0-5%,26-50%,51-75%,Low,35,Class 1,1,5,4,,Less than 100 feet from water
Thousand Island Lake,6-25%,0-5%,6-25%,0-5%,6-25%,Medium,48,Class 2,0,45,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Low,300,Class 2,2,60,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,76-95%,0-5%,0-5%,0-5%,51-75%,Low,112,Class 5,0,95,3,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Medium,200,Class 3,0,50,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,High,40,Class 3,1,90,4,,Less than 100 feet from water
Thousand Island Lake,6-25%,0-5%,0-5%,0-5%,6-25%,Low,35,Class 3,0,60,2,,Less than 100 feet from water
Thousand Island Lake,51-75%,6-25%,0-5%,6-25%,51-75%,Medium,160,Class 3,2,60,1,,Less than 100 feet from trail 
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,High,580,Class 4,0,90,2,,Less than 100 feet from water
Thousand Island Lake,76-95%,51-75%,0-5%,51-75%,76-95%,Low,420,Class 2,1,20,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Thousand Island Lake,76-95%,76-95%,0-5%,76-95%,76-95%,Low,144,Class 1,0,10,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,Medium,30,Class 3,0,70,2,,Less than 100 feet from water
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,High,100,Class 4,1,90,4,,Less than 100 feet from water
Thousand Island Lake,96-100%,76-95%,0-5%,76-95%,96-100%,Low,500,Class 1,0,10,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Thousand Island Lake,51-75%,0-5%,0-5%,0-5%,51-75%,Medium,30,Class 3,0,85,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,26-50%,0-5%,6-25%,0-5%,26-50%,High,100,Class 4,0,100,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Medium,152,Class 4,1,80,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Thousand Island Lake,76-95%,6-25%,6-25%,6-25%,76-95%,Medium,550,Class 3,1,65,1,,Less than 100 feet from trail 
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,High,560,Class 5,2,85,1,,Less than 100 feet from trail 
Thousand Island Lake,6-25%,0-5%,51-75%,0-5%,6-25%,Medium,190,Class 2,0,40,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,Medium,40,Class 3,0,70,4,,Less than 100 feet from water
Thousand Island Lake,76-95%,6-25%,6-25%,6-25%,76-95%,Low,250,Class 2,0,60,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,0-5%,0-5%,0-5%,51-75%,High,200,Class 4,0,95,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,51-75%,26-50%,51-75%,76-95%,Medium,240,Class 2,0,10,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,26-50%,0-5%,6-25%,0-5%,26-50%,High,36,Class 3,0,80,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,6-25%,0-5%,51-75%,High,1063,Class 4,0,60,1,,Less than 100 feet from trail 
Thousand Island Lake,76-95%,0-5%,6-25%,0-5%,76-95%,High,160,Class 5,1,95,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,0-5%,0-5%,96-100%,0-5%,0-5%,Low,40,Rock (R),0,10,4,,Less than 100 feet from water
Thousand Island Lake,51-75%,6-25%,6-25%,6-25%,51-75%,High,300,Class 4,1,90,1,,"Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,96-100%,76-95%,0-5%,76-95%,96-100%,Low,720,Class 2,0,10,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,0-5%,0-5%,0-5%,51-75%,,70,Class 4,2,100,1,,Less than 100 feet from trail 
Island Pass,76-95%,6-25%,6-25%,6-25%,76-95%,Medium,450,Class 3,0,60,1,,Less than 100 feet from trail 
Thousand Island Lake,6-25%,0-5%,26-50%,0-5%,6-25%,Medium,40,Class 3,1,50,1,,"Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,0-5%,6-25%,51-75%,Medium,136,Class 3,0,75,1,,"Within Restricted area (Lake outlet, closure, etc)"
Island Pass,76-95%,0-5%,0-5%,0-5%,51-75%,Medium,384,Class 3,10,92,1,,Less than 100 feet from trail 
Thousand Island Lake,96-100%,26-50%,0-5%,26-50%,96-100%,Medium,150,Class 2,0,10,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,26-50%,0-5%,26-50%,51-75%,Medium,300,Class 3,1,70,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Medium,70,Class 3,0,70,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,26-50%,0-5%,26-50%,Low,60,Class 1,0,30,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Island Pass,76-95%,26-50%,0-5%,26-50%,51-75%,Medium,224,Class 3,1,60,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,76-95%,6-25%,6-25%,6-25%,96-100%,High,72,Class 4,0,90,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,140,Class 3,0,40,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,51-75%,0-5%,26-50%,,100,Class 3,0,40,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Davis Lake Region,76-95%,26-50%,0-5%,6-25%,76-95%,Medium,400,Class 3,0,50,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Island Pass,96-100%,6-25%,0-5%,6-25%,96-100%,Medium,100,Class 3,1,60,4,,Less than 100 feet from water
Island Pass,51-75%,0-5%,0-5%,0-5%,26-50%,High,168,Class 4,0,95,1,,Less than 100 feet from trail 
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,80,Class 3,0,40,1,,Less than 100 feet from trail 
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,50,Class 3,0,90,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,Medium,96,Class 3,1,30,1,,Less than 100 feet from trail 
Island Pass,26-50%,6-25%,0-5%,6-25%,26-50%,Low,200,Class 2,0,35,1,,Less than 100 feet from trail 
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,High,50,Class 3,0,95,1,,Less than 100 feet from trail 
Island Pass,76-95%,0-5%,6-25%,0-5%,51-75%,Low,120,Class 2,1,15,1,,Less than 100 feet from trail 
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,Low,150,Class 2,1,5,1,,Less than 100 feet from trail 
Island Pass,76-95%,0-5%,6-25%,0-5%,76-95%,Medium,150,Class 4,2,70,1,,Less than 100 feet from trail 
Marie Lakes Region,6-25%,0-5%,0-5%,0-5%,6-25%,Medium,40,Class 3,0,95,4,,Less than 100 feet from water
Marie Lakes Region,76-95%,76-95%,0-5%,76-95%,76-95%,Low,112,Class 2,0,20,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Rush Creek,96-100%,6-25%,0-5%,6-25%,96-100%,Low,150,Class 2,1,40,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Marie Lakes Region,6-25%,0-5%,0-5%,0-5%,6-25%,Low,30,Class 3,0,90,3,,Less than 100 feet from water
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,Medium,60,Class 2,0,10,3,,Less than 100 feet from water
Rush Creek,76-95%,26-50%,0-5%,26-50%,76-95%,Low,192,Class 2,0,0,3,,Less than 100 feet from water
Rush Creek,76-95%,6-25%,0-5%,6-25%,76-95%,Low,300,Class 2,1,5,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,96-100%,6-25%,0-5%,6-25%,96-100%,Low,500,Class 2,1,5,1,,In Meadow/ on Soft Vegetation
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,High,35,Class 4,0,90,1,,Less than 100 feet from trail 
Rush Creek,26-50%,0-5%,0-5%,0-5%,26-50%,Low,60,Class 3,0,65,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,26-50%,0-5%,6-25%,0-5%,26-50%,High,72,Class 2,0,20,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,6-25%,0-5%,26-50%,Low,96,Class 4,0,95,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Rush Creek,51-75%,0-5%,6-25%,0-5%,51-75%,High,36,Class 3,0,40,1,,Less than 100 feet from trail 
Rush Creek,51-75%,0-5%,0-5%,0-5%,26-50%,High,221,Class 4,1,96,1,,Less than 100 feet from trail 
Rush Creek,51-75%,6-25%,6-25%,6-25%,51-75%,Medium,60,Class 3,0,70,1,,Less than 100 feet from trail 
Rush Creek,51-75%,0-5%,0-5%,0-5%,51-75%,High,50,Class 4,0,100,1,,Less than 100 feet from trail 
Rush Creek,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,150,Class 3,0,20,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,High,120,Class 4,0,95,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Marie Lakes Region,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,300,Class 4,0,95,4,,Less than 100 feet from water
Rush Creek,76-95%,0-5%,0-5%,0-5%,76-95%,High,250,Class 5,0,95,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Marie Lakes Region,51-75%,6-25%,6-25%,6-25%,51-75%,Low,60,Class 2,0,15,3,,Less than 100 feet from water
Rush Creek,76-95%,0-5%,6-25%,0-5%,51-75%,Low,780,Class 2,3,10,4,,Less than 100 feet from water
Rush Creek,6-25%,0-5%,6-25%,0-5%,6-25%,Medium,180,Class 2,0,0,1,,Less than 100 feet from trail 
Marie Lakes Region,0-5%,0-5%,96-100%,0-5%,0-5%,Low,60,Rock (R),0,10,2,,Less than 100 feet from water
Marie Lakes Region,51-75%,0-5%,6-25%,0-5%,51-75%,High,400,Class 4,0,95,3,,Less than 100 feet from water
Donahue Pass Basin,76-95%,6-25%,0-5%,6-25%,76-95%,Low,100,Class 3,0,75,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,6-25%,High,100,Class 4,0,90,3,,Less than 100 feet from water
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,26-50%,Low,120,Class 4,0,85,3,,Less than 100 feet from water
Donahue Pass Basin,76-95%,0-5%,6-25%,0-5%,76-95%,High,72,Class 3,0,30,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Donahue Pass Basin,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,84,Class 4,0,95,1,,Less than 100 feet from trail 
Donahue Pass Basin,76-95%,0-5%,6-25%,0-5%,76-95%,High,80,Class 3,0,60,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,26-50%,Medium,48,Class 2,0,20,1,,Less than 100 feet from trail 
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,Medium,30,Class 2,0,40,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Donahue Pass Basin,6-25%,0-5%,51-75%,0-5%,6-25%,Low,48,Class 2,0,5,1,,Less than 100 feet from trail 
Donahue Pass Basin,26-50%,0-5%,51-75%,0-5%,6-25%,Medium,40,Class 2,0,10,1,,Less than 100 feet from trail 
Donahue Pass Basin,76-95%,6-25%,6-25%,6-25%,76-95%,Medium,50,Class 3,0,70,2,,Less than 100 feet from water
Donahue Pass Basin,51-75%,6-25%,51-75%,0-5%,6-25%,Low,60,Class 2,0,10,2,,Less than 100 feet from water